Month	ItemId0	ItemNum0	ItemId1	ItemNum1	ItemId2	ItemNum2	ItemId3	ItemNum3	ItemId4	ItemNum4	ItemId5	ItemNum5	ItemId6	ItemNum6	ItemId7	ItemNum7	ItemId8	ItemNum8	ItemId9	ItemNum9	ItemId10	ItemNum10	ItemId11	ItemNum11	ItemId12	ItemNum12	ItemId13	ItemNum13	ItemId14	ItemNum14	ItemId15	ItemNum15	ItemId16	ItemNum16	ItemId17	ItemNum17	ItemId18	ItemNum18	ItemId19	ItemNum19	ItemId20	ItemNum20	ItemId21	ItemNum21	ItemId22	ItemNum22	ItemId23	ItemNum23	ItemId24	ItemNum24	ItemId25	ItemNum25	ItemId26	ItemNum26	ItemId27	ItemNum27	ItemId28	ItemNum28	ItemId29	ItemNum29	ItemId30	ItemNum30	ItemId31	ItemNum31
1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1
2	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1
3	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1
4	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1
5	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1
6	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1
7	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1
8	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1
9	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1
10	101	20000	102	100	400001	60	101001	50	410015	10	101	30000	102	120	400001	70	101001	60	410015	15	101	40000	102	140	400001	80	101001	70	410015	20	101	50000	102	160	400001	90	101001	80	410015	25	101	60000	102	180	400001	100	101001	90	410015	30	101	70000	102	200	400001	110	101001	100	410015	35	101	80000	102	220
11	101	20000	102	100	400001	60	101002	50	410001	5	101	30000	102	120	400001	70	101002	60	410001	7	101	40000	102	140	400001	80	101002	70	410001	9	101	50000	102	160	400001	90	101002	80	410001	11	101	60000	102	180	400001	100	101002	90	410001	13	101	70000	102	200	400001	110	101002	100	410001	15	101	80000	102	220
12	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1	101	1
