Ranking	Money	Gold
9900	24000	1000
9800	24000	1000
9700	24000	1000
9600	24000	1000
9500	24000	1000
9400	24000	1000
9300	24000	1000
9200	24000	1000
9100	24000	1000
9000	24000	1000
8900	24000	1000
8800	24000	1000
8700	24000	1000
8600	24000	1000
8500	24000	1000
8400	24000	1000
8300	24000	1000
8200	24000	1000
8100	24000	1000
8000	24000	1000
7900	24000	1000
7800	24000	1000
7700	24000	1000
7600	24000	1000
7500	24000	1000
7400	24000	1000
7300	24000	1000
7200	24000	1000
7100	24000	1000
7000	24000	1000
6900	24000	1000
6800	24000	1000
6700	24000	1000
6600	24000	1000
6500	24000	1000
6400	24000	1000
6300	24000	1000
6200	24000	1000
6100	24000	1000
6000	24000	1000
5900	24000	1000
5800	24000	1000
5700	24000	1000
5600	24000	1000
5500	24000	1000
5400	24000	1000
5300	24000	1000
5200	24000	1000
5100	24000	1000
5000	24000	1000
4900	24000	1000
4800	24000	1000
4700	24000	1000
4600	24000	1000
4500	24000	1000
4400	24000	1000
4300	24000	1000
4200	24000	1000
4100	24000	1000
4000	24000	1000
3900	24000	1000
3800	24000	1000
3700	24000	1000
3600	24000	1000
3500	24000	1000
3400	24000	1000
3300	24000	1000
3200	24000	1000
3100	24000	1000
3000	24000	1000
2900	24000	1000
2800	24000	1000
2700	24000	1000
2600	24000	1000
2500	24000	800
2400	24000	600
2300	24000	500
2200	24000	400
2100	24000	300
2000	24000	260
1900	23000	200
1800	22000	150
1700	21000	140
1600	20000	130
1500	19000	120
1400	18000	110
1300	17000	100
1200	16000	90
1100	15000	80
1000	14000	70
900	13000	60
800	13000	50
700	13000	40
600	13000	30
500	13000	30
400	13000	30
300	13000	30
200	13000	30
100	13000	30
