Id	FightingScore	SceneType	AttributeId
#我是注释行	#战斗力	#场景类型 0-试练；	#属性Id
1	1545	0	4001
2	1720	0	4002
3	1900	0	4003
4	2075	0	4004
5	2250	0	4005
6	2430	0	4006
7	2605	0	4007
8	2780	0	4008
9	2960	0	4009
10	3135	0	4010
11	3310	0	4011
12	3490	0	4012
13	3665	0	4013
14	3840	0	4014
15	4015	0	4015
16	4195	0	4016
17	4370	0	4017
18	4545	0	4018
19	4725	0	4019
20	4940	0	4020
21	5130	0	4021
22	5325	0	4022
23	5515	0	4023
24	5670	0	4024
25	5885	0	4025
26	6020	0	4026
27	6200	0	4027
28	6415	0	4028
29	6630	0	4029
30	6845	0	4030
31	7060	0	4031
32	7275	0	4032
33	7490	0	4033
34	7705	0	4034
35	8035	0	4035
36	8225	0	4036
37	8415	0	4037
38	8610	0	4038
39	8800	0	4039
40	9070	0	4040
41	9325	0	4041
42	9575	0	4042
43	9830	0	4043
44	10085	0	4044
45	10335	0	4045
46	10550	0	4046
47	10690	0	4047
48	10945	0	4048
49	11195	0	4049
50	11450	0	4050
51	11705	0	4051
52	11935	0	4052
53	12165	0	4053
54	12395	0	4054
55	12625	0	4055
56	12855	0	4056
57	13085	0	4057
58	13315	0	4058
59	13495	0	4059
60	13630	0	4060
61	13920	0	4061
62	14215	0	4062
63	14505	0	4063
64	14800	0	4064
65	15090	0	4065
66	15380	0	4066
67	15675	0	4067
68	15965	0	4068
69	16295	0	4069
70	16565	0	4070
71	16835	0	4071
72	17100	0	4072
73	17370	0	4073
74	17640	0	4074
75	17910	0	4075
76	18175	0	4076
77	18505	0	4077
78	18705	0	4078
79	19035	0	4079
80	19365	0	4080
81	19695	0	4081
82	20025	0	4082
83	20355	0	4083
84	20555	0	4084
85	20885	0	4085
86	21215	0	4086
87	21545	0	4087
88	21875	0	4088
89	22075	0	4089
90	22365	0	4090
91	22655	0	4091
92	22950	0	4092
93	23240	0	4093
94	23530	0	4094
95	23825	0	4095
96	24115	0	4096
97	24410	0	4097
98	24700	0	4098
99	24990	0	4099
100	25285	0	4100
101	25575	0	4101
102	25865	0	4102
103	26160	0	4103
104	26450	0	4104
105	26745	0	4105
106	27035	0	4106
107	27325	0	4107
108	27620	0	4108
109	27910	0	4109
110	28200	0	4110
111	28495	0	4111
112	28785	0	4112
113	29075	0	4113
114	29370	0	4114
115	29660	0	4115
116	29955	0	4116
117	30245	0	4117
118	30535	0	4118
119	30830	0	4119
120	31120	0	4120
121	31410	0	4121
122	31705	0	4122
123	31995	0	4123
124	32290	0	4124
125	32580	0	4125
126	32870	0	4126
127	33165	0	4127
128	33455	0	4128
129	33745	0	4129
130	34040	0	4130
131	34330	0	4131
132	34620	0	4132
133	34835	0	4133
134	35050	0	4134
135	35330	0	4135
136	35605	0	4136
137	35820	0	4137
138	36035	0	4138
139	36250	0	4139
140	36465	0	4140
141	36680	0	4141
142	36895	0	4142
143	37110	0	4143
144	37325	0	4144
145	37540	0	4145
146	37755	0	4146
147	37970	0	4147
148	38185	0	4148
149	38400	0	4149
150	38615	0	4150
151	38830	0	4151
152	39045	0	4152
153	39260	0	4153
154	39475	0	4154
155	39690	0	4155
156	39905	0	4156
157	40120	0	4157
158	40335	0	4158
159	40550	0	4159
160	40765	0	4160
161	40980	0	4161
162	41195	0	4162
163	41410	0	4163
164	41625	0	4164
165	41840	0	4165
166	42055	0	4166
167	42270	0	4167
168	42485	0	4168
169	42700	0	4169
170	42915	0	4170
171	1545	1	5001
172	1720	1	5002
173	1900	1	5003
174	2075	1	5004
175	2250	1	5005
176	2430	1	5006
177	2605	1	5007
178	2780	1	5008
179	2960	1	5009
180	3135	1	5010
181	3310	1	5011
182	3490	1	5012
183	3665	1	5013
184	3840	1	5014
185	4015	1	5015
186	4195	1	5016
187	4370	1	5017
188	4545	1	5018
189	4725	1	5019
190	4940	1	5020
191	5130	1	5021
192	5325	1	5022
193	5515	1	5023
194	5670	1	5024
195	5885	1	5025
196	6020	1	5026
197	6200	1	5027
198	6415	1	5028
199	6630	1	5029
200	6845	1	5030
201	7060	1	5031
202	7275	1	5032
203	7490	1	5033
204	7705	1	5034
205	8035	1	5035
206	8225	1	5036
207	8415	1	5037
208	8610	1	5038
209	8800	1	5039
210	9070	1	5040
211	9325	1	5041
212	9575	1	5042
213	9830	1	5043
214	10085	1	5044
215	10335	1	5045
216	10550	1	5046
217	10690	1	5047
218	10945	1	5048
219	11195	1	5049
220	11450	1	5050
221	11705	1	5051
222	11935	1	5052
223	12165	1	5053
224	12395	1	5054
225	12625	1	5055
226	12855	1	5056
227	13085	1	5057
228	13315	1	5058
229	13495	1	5059
230	13630	1	5060
231	13920	1	5061
232	14215	1	5062
233	14505	1	5063
234	14800	1	5064
235	15090	1	5065
236	15380	1	5066
237	15675	1	5067
238	15965	1	5068
239	16295	1	5069
240	16565	1	5070
241	16835	1	5071
242	17100	1	5072
243	17370	1	5073
244	17640	1	5074
245	17910	1	5075
246	18175	1	5076
247	18505	1	5077
248	18705	1	5078
249	19035	1	5079
250	19365	1	5080
251	19695	1	5081
252	20025	1	5082
253	20355	1	5083
254	20555	1	5084
255	20885	1	5085
256	21215	1	5086
257	21545	1	5087
258	21875	1	5088
259	22075	1	5089
260	22365	1	5090
261	22655	1	5091
262	22950	1	5092
263	23240	1	5093
264	23530	1	5094
265	23825	1	5095
266	24115	1	5096
267	24410	1	5097
268	24700	1	5098
269	24990	1	5099
270	25285	1	5100
271	25575	1	5101
272	25865	1	5102
273	26160	1	5103
274	26450	1	5104
275	26745	1	5105
276	27035	1	5106
277	27325	1	5107
278	27620	1	5108
279	27910	1	5109
280	28200	1	5110
281	28495	1	5111
282	28785	1	5112
283	29075	1	5113
284	29370	1	5114
285	29660	1	5115
286	29955	1	5116
287	30245	1	5117
288	30535	1	5118
289	30830	1	5119
290	31120	1	5120
291	31410	1	5121
292	31705	1	5122
293	31995	1	5123
294	32290	1	5124
295	32580	1	5125
296	32870	1	5126
297	33165	1	5127
298	33455	1	5128
299	33745	1	5129
300	34040	1	5130
301	34330	1	5131
302	34620	1	5132
303	34835	1	5133
304	35050	1	5134
305	35330	1	5135
306	35605	1	5136
307	35820	1	5137
308	36035	1	5138
309	36250	1	5139
310	36465	1	5140
311	36680	1	5141
312	36895	1	5142
313	37110	1	5143
314	37325	1	5144
315	37540	1	5145
316	37755	1	5146
317	37970	1	5147
318	38185	1	5148
319	38400	1	5149
320	38615	1	5150
321	38830	1	5151
322	39045	1	5152
323	39260	1	5153
324	39475	1	5154
325	39690	1	5155
326	39905	1	5156
327	40120	1	5157
328	40335	1	5158
329	40550	1	5159
330	40765	1	5160
331	40980	1	5161
332	41195	1	5162
333	41410	1	5163
334	41625	1	5164
335	41840	1	5165
336	42055	1	5166
337	42270	1	5167
338	42485	1	5168
339	42700	1	5169
340	42915	1	5170
