Id	Remarks	Name	ShowName	Level	NpcType	NpcFigure	Portrait	Scale	ParticleScale	CauseStiff	AcceptStiff	AcceptStiffEffect	AddHpMax	AddEpMax	AddAd	AddADp	AddMDp	AddCri	AddPow	AddBackHitPow	AddCrackPow	AddHpRecover	AddEpRecover	AddSpd	AddWalkSpd	AddFireDam	AddFireErd	AddIceDam	AddIceErd	AddPoisonDam	AddPoisonErd	AddWeight	AddRps	AddAttackRange	SuperArmor	ViewRange	GohomeRange	ReleaseTime	IsRange	SkillList	DeadSkill	CanMove	CanHitMove	CanRotate	Model	ActionId	BornEffect	BornEffectTime	BornAnimTime	BornEffect	MeetEnemyImpact	MeetEnemyStayTime	MeetEnemyWalkTime	TauntSound	HitSound	IsAttachControler	AttachNodeName	CanBomb	Cross2StandTime	Cross2RunTime	DeadAnimTime	AvoidanceRadius	ShapeType	ShapeParamNum	ShapeParamName0	ShapeParam0	ShapeParamName1	ShapeParam1	ShapeParamName2	ShapeParam2	ShapeParamName3	ShapeParam3	ShapeParamName4	ShapeParam4	ShapeParamName5	ShapeParam5	ShapeParamName6	ShapeParam6	ShapeParamName7	ShapeParam7
#					ÀàÐÍ£º0=ÆÕÍ¨npc£»1=¼¼ÄÜnpc£»2=»ú¼×£»3=×øÆï£»4=ÈÎÎñnpc£»5=pvpËþ£»6=µôÂäÎïÆ·£»7=½»»¥npc£»8=boss£»9=¾«Ó¢;10=³¡¾°ÎïÌå	ÌåÐÍ£º0=Normal£»1=ÅíÅÖ				ÊÇ·ñ»áÔì³ÉÓ²Ö±	ÊÇ·ñ»á½ÓÊÜÓ²Ö±																																					#µ¥Î»Ãë£¬ -1ÎªÓÀ¾Ã´æÔÚ							ÓÃ|¸ô¿ª£¬¿ÉÅäÖÃ¶à¸ö																									
#101-200 ¹ÖÎï¼¼ÄÜÕÙ»½Îï£»200- µôÂä°ü						0																																																																										
101	·ÉÐÐÍ¶ÖÀÎï	·ÉÐÐÍ¶ÖÀÎï		1	1								10000	10000	0	5000	0	0	0	0	0	0	0	350		0	0	0	0	0	0	0	50	600	FALSE	7	1000	400	TRUE			TRUE	TRUE	TRUE														FALSE				1	Circle	1	°ë¾¶	0.3														
102	´Ì¿ÍÓ°×Ó	´Ì¿ÍÓ°×Ó		1	1								10000	10000	0	5000	0	0	0	0	0	0	0	350		0	0	0	0	0	0	0	50	600	FALSE	7	1000	400	TRUE			TRUE	TRUE	TRUE		5												FALSE				1	Circle	1	°ë¾¶	0.3														
103	Èø·ÆÀÕºÚ¶´	Èø·ÆÀÕºÚ¶´		1	1					TRUE	FALSE		10000	10000	0	5000	0	0	0	0	0	0	0	350		0	0	0	0	0	0	0	50	600	FALSE	7	1000	400	TRUE	380708		TRUE	TRUE	TRUE	Monster_FX/Boss/SFL/6_Mon_SFL_Heidong_01													FALSE				1	Circle	1	°ë¾¶	0.3														
#¹ÖÎïÄ£°å																																																																																
1011	¸«Í·²¼Â³·ò	¸ç²¼ÁÖ¸«ÊÖ		1	0	0	G1011	1		FALSE			10000	1000000	500	250	0	0	0	0	0	0	0	300	100	0	0	0	0	0	0	0	50	200	FALSE	7	1000	400	TRUE	300103|300104		TRUE	TRUE	TRUE	Monster/Campaign_Wild/01_Bluelf/5_Mon_Bluelf_01	1011						1000	1500					FALSE				1	Circle	1	°ë¾¶	0.3														
1012	ÖÀÃ¬²¼Â³·ò	¸ç²¼ÁÖÃ¬±ø		1	0	0	G1012	1		FALSE			10000	10000	500	250	0	0	0	0	0	0	0	300	100	0	0	0	0	0	0	0	50	200	FALSE	10	1000	400	TRUE	300105		TRUE	TRUE	TRUE	Monster/Campaign_Wild/01_Bluelf/5_Mon_Bluelf_02	1012						1000	1500					FALSE				1	Circle	1	°ë¾¶	0.3														
1013	²¼Â³·ò¾«Ó¢¹Ö	¸ç²¼ÁÖ¾«Ó¢		1	0	1	G1013	1.8		TRUE			10000	10000	500	250	0	0	0	0	0	0	0	500	200	0	0	0	0	0	0	0	50	200	FALSE	7	1000	400	TRUE	300101|300102		TRUE	TRUE	TRUE	Monster/Campaign_Wild/01_Bluelf/5_Mon_Bluelf_03	1013					30010009	1000	1500					FALSE				1	Circle	1	°ë¾¶	0.3														
1014	×Ý»ð²¼Â³·ò	¸ç²¼ÁÖ»ðÍ½		1	0	0	G1014	1		FALSE			10000	10000	500	250	0	0	0	0	0	0	0	300	100	0	0	0	0	0	0	0	50	200	FALSE	10	1000	3000	TRUE	300106	300123	TRUE	TRUE	TRUE	Monster/Campaign_Wild/01_Bluelf/5_Mon_Bluelf_04	1014						1000	1500					FALSE				1	Circle	1	°ë¾¶	0.3														
1015	¸ç²¼ÁÖboss	¸ç²¼ÁÖÇõ³¤		1	0	2	G1015			TRUE			10000	10000	500	250	0	0	0	0	0	0	0	500	200	0	0	0	0	0	0	0	50	200	FALSE	13	1000	400	TRUE	300111|300112|300113|300114|300115		TRUE	TRUE	TRUE	Monster/Campaign_Wild/01_Bluelf/5_Boss_Goblin_01	1015						1000	1500					FALSE				1	Circle	1	°ë¾¶	0.3														
1021	Àû×¦ÀÇÈË¾«Ó¢	Àû×¦¾«Ó¢ÀÇ		1	0	1	G1021	1.2		TRUE			100000	10000	500	250	0	0	0	0	0	0	0	600	200	0	0	0	0	0	0	0	50	600	FALSE	7	1000	400	TRUE	300201|300202		TRUE	TRUE	TRUE	Monster/Campaign_Wild/02_Blof/5_Mon_Blof_01	1021					30010009	1000	1500					FALSE				1	Circle	1	°ë¾¶	0.3														
1022	¹Ç¸«Ð¡ÀÇÈË	¹Ç¸«Ð¡ÀÇÈË		1	0	0	G1022	1.1		FALSE			100000	10000	500	250	0	0	0	0	0	0	0	400	150	0	0	0	0	0	0	0	50	600	FALSE	7	1000	400	TRUE	300203|300204		TRUE	TRUE	TRUE	Monster/Campaign_Wild/02_Blof/5_Mon_Blof_02	1022						1000	1500					FALSE				1	Circle	1	°ë¾¶	0.3														
1031	Íõ¹ú¾ü³¤Ã¬±ø	Íõ¹ú³¤Ã¬±ø		1	0	0	G1033						10000	10000	500	250	0	0	0	0	0	0	0	345	112	0	0	0	0	0	0	0	50	600	FALSE	10	1000	400	TRUE	300306|300307		TRUE	TRUE	TRUE	Monster/Campaign_Wild/03_KDArmy/5_Mon_KDArmyPike_01	1031						1000	1500					FALSE				1	Circle	1	°ë¾¶	0.3														
1032	Íõ¹ú¾ü½£±ø	Íõ¹ú½£±ø		1	0	0	G1032						10000	10000	500	250	0	0	0	0	0	0	0	345	112	0	0	0	0	0	0	0	50	600	FALSE	10	1000	400	TRUE	300308|300309		TRUE	TRUE	TRUE	Monster/Campaign_Wild/03_KDArmy/5_Mon_KDArmySword_01	1032						1000	1500					FALSE				1	Circle	1	°ë¾¶	0.3														
1033	Íõ¹ú¾ü»ðÇ¹±ø	Íõ¹ú»ðÇ¹ÊÖ		1	0	0	G1033						10000	10000	500	250	0	0	0	0	0	0	0	345	112	0	0	0	0	0	0	0	50	600	FALSE	10	1000	400	TRUE	300302|300303		TRUE	TRUE	TRUE	Monster/Campaign_Wild/03_KDArmy/5_Mon_KDMusketeer_01	1033						1000	1500					FALSE				1	Circle	1	°ë¾¶	0.3														
1034	Íõ¹ú¾üö±µ¯Ç¹±ø	Íõ¹úÖØÇ¹±ø		1	0	0	G1034						10000	10000	500	250	0	0	0	0	0	0	0	345	112	0	0	0	0	0	0	0	50	600	FALSE	7	1000	400	TRUE	300301|300304|300305		TRUE	TRUE	TRUE	Monster/Campaign_Wild/03_KDArmy/5_Mon_KDShotgun_01	1034						1000	1500					FALSE				1	Circle	1	°ë¾¶	0.3														
1043	Òø¶Ü¾ü¼¤¹âÇ¹±ø	Òø¶Ü¼¤¹â±ø		1	0	0	G1043						10000	10000	500	250	0	0	0	0	0	0	0	250	112	0	0	0	0	0	0	0	50	600	FALSE	10	1000	400	TRUE	300401|300402		TRUE	TRUE	TRUE	Monster/Campaign_Wild/04_SilverShield/5_Mon_SSLaser_01	1043						1000	1500					FALSE				1	Circle	1	°ë¾¶	0.3														
1045	Òø¶Ü¾ü½£¶Ü±ø	Òø¶Ü½£±ø		1	0	1	G1044						10000	10000	500	250	0	0	0	0	0	0	0	250	112	0	0	0	0	0	0	0	50	600	FALSE	10	1000	400	TRUE	300403|300404|300413		TRUE	TRUE	TRUE	Monster/Campaign_Wild/04_SilverShield/5_Mon_SSLancer_01	1045					30010009	1000	1500					FALSE				1	Circle	1	°ë¾¶	0.3														
1046	Òø¶Ü¾ü³¤Ç¹±ø	Òø¶ÜÇ¹±ø		1	0	1	G1045						10000	10000	500	250	0	0	0	0	0	0	0	250	112	0	0	0	0	0	0	0	50	600	FALSE	10	1000	400	TRUE	300405|300406|300407|300408|300409|300410|300411|300412		TRUE	TRUE	TRUE	Monster/Campaign_Wild/04_SilverShield/5_Mon_SSPike_01	1046					30010009	1000	1500					FALSE				1	Circle	1	°ë¾¶	0.3														
1051	ÊóÈË¾«Ó¢	¹öµØ¾«Ó¢Êó		1	0	1	G1051	1.8		TRUE			100000	10000	500	250	0	0	0	0	0	0	0	600	100	0	0	0	0	0	0	0	50	600	FALSE	7	1000	400	TRUE	300501|300502|300505		TRUE	TRUE	TRUE	Monster/Campaign_Wild/05_Mouse/5_Mon_BurrowMouse_01	1051					30010009	1000	1500					FALSE				1	Circle	1	°ë¾¶	0.3														
