Level	ConsumeExp	RebornTime
1	40	10
2	80	10
3	120	10
4	160	10
5	200	10
6	240	10
7	280	10
8	320	10
9	400	10
10	480	10
11	560	10
12	640	10
13	720	10
14	800	10
15	880	10
16	1000	10
17	1120	10
18	1240	10
19	3800	10
20	7832	10
21	14168	10
22	23000	10
23	34520	10
24	48920	10
25	66392	10
26	87128	10
27	111320	10
28	139160	10
29	170840	10
30	206552	10
31	246488	10
32	290840	10
33	339800	10
34	393560	10
35	452312	10
36	516248	10
37	585560	10
38	660440	10
39	741080	10
40	825048	10
41	912408	10
42	1003224	10
43	1097560	10
44	1195480	10
45	1297048	10
46	1402328	10
47	1511384	10
48	1624280	10
49	1741080	10
50	1861848	10
51	1986648	10
52	2115544	10
53	2248600	10
54	2385880	10
55	2527448	10
56	2673368	10
57	2823704	10
58	2978520	10
59	3137880	10
