Id	GoldSum	GoldMin	GoldMax	Exp	Diamond	PartnerId	HpCount	HpPercent	MpCount	MpPercent	GoldModel	GoldParticle	HpModel	HpParticle	MpModel	MpParticle	ItemCount	WarriorItem0	RogueItem0	MageItem0	Count0	Weight0	WarriorItem1	RogueItem1	MageItem1	Count1	Weight1	WarriorItem2	RogueItem2	MageItem2	Count2	Weight2	WarriorItem3	RogueItem3	MageItem3	Count3	Weight3
1	10	1	1	10			1	15	3	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02																					
1010	8	1	2	40			4	15	3	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	916011	916011	916011	10	5	916011	916011	916011	10	5	916011	916011	916011	10	5	916011	916011	916011	10	5
1011	8	1	2	40			4	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	101	101	101	8	0	101	101	101	8	5	14102	14102	14102	1	0	23105	23105	23105	1	0
1012	0	0	0	0			4	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	14105	14105	14105	1	0	101	101	101	8	5	14102	14102	14102	1	0	101001	101001	101001	2	0
1013	0	0	0	40			4	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	14105	14105	14105	1	0	23105	23105	23105	1	0	23106	23106	23106	1	0	101	101	101	16	5
1014	32	1	9	40			4	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	101	101	101	16	5	23101	23107	23108	1	0	101	101	101	16	35	14102	14102	14102	1	0
1015	48	1	12	40			4	15	6	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	23106	23106	23106	1	15	23104	23104	23104	1	15	101	101	101	24	15	400001	400001	400001	1	8
1016	64	1	15	40			4	15	12	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	24104	24104	24104	1	15	24103	24103	24103	1	15	101	101	101	32	15	400001	400001	400001	1	8
1017	80	1	18	40			4	15	12	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	24105	24105	24105	1	15	24102	24102	24102	1	15	101	101	101	40	15	400001	400001	400001	1	8
1018	96	1	21	40			4	15	12	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	24106	24106	24106	1	15	24101	24107	24108	1	15	101	101	101	48	15	400001	400001	400001	1	8
1019	112	1	400	40			4	15	12	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	24101	24107	24108	1	15	101	101	101	56	5	101	101	101	48	15	400001	400001	400001	1	8
1020	128	1	16	40			4	15	12	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	34105	34105	34105	1	15	101	101	101	64	5	410001	410001	410001	1	5	400001	400001	400001	1	8
1021	144	1	18	40			3	15	12	30	Monster_FX/Public/Gold	Monster_FX/Public/6_Public_Gold_02	Monster_FX/Public/Health	Monster_FX/Public/6_Public_Hp_02	Monster_FX/Public/Mana	Monster_FX/Public/6_Public_Mp_02	4	101	101	101	84	7	101	101	101	94	7	101	101	101	72	15	400001	400001	400001	1	8
