Id	LinkId	CampId	Pos	Pos2	RotAngle	IsEnable	IdleAnimSet	AiLogic	AiParamDesc0	AiParam0	AiParamDesc1	AiParam1	AiParamDesc2	AiParam2	AiParamDesc3	AiParam3	AiParamDesc4	AiParam4	AiParamDesc5	AiParam5	AiParamDesc6	AiParam6	AiParamDesc7	AiParam7
20001	1	3	88.68639 159.8975 10.36574		-110.7426	FALSE		0																
20002	2	3	88.68639 159.8975 10.36574		-110.7426	FALSE		0																
#AÇø																								
1001	101203	2	75.85016 159.8975 16.41816		169.0738	FALSE	15|16	10120		0														
1002	101203	2	74.53145 159.8975 2.51808		30.34889	FALSE	15|16	10120		0														
1003	101203	2	49.40588 159.8975 34.95861		150.7755	FALSE	15|16	10120		0														
1004	101201	2	80.58868 159.8975 8.388506		86.33405	FALSE	15|16	10110		0														
1005	101201	2	81.86859 159.8975 4.624948		52.66801	FALSE	15|16	10110		0														
1006	101201	2	80.79079 159.8975 12.18252		105.0051	FALSE	15|16	10110		0														
1007	101201	2	67.23307 159.8975 16.90715		130.7215	FALSE	15|16	10110		0														
1008	101201	2	63.8587 159.8975 12.40093		113.1116	FALSE	15|16	10110		0														
1009	101201	2	61.91487 159.8975 19.59915		130.7215	FALSE	15|16	10110		0														
1010	101201	2	60.54159 159.8975 25.09621		161.7557	FALSE	15|16	10110		0														
1011	101202	2	73.10409 159.8975 13.42957		113.2221	FALSE	15|16	10120		0														
1012	101202	2	71.37901 159.8975 9.421735		96.24391	FALSE	15|16	10120		0														
1013	101202	2	68.42492 159.8975 6.805213		82.82844	FALSE	15|16	10120		0														
1014	101202	2	52.50757 159.8975 32.96769		145.7651	FALSE	15|16	10120		0														
1015	101202	2	48.6142 159.8975 29.51584		113.2917	FALSE	15|16	10120		0														
1016	101205	2	43.29979 159.8975 38.96367		150.7755	FALSE	15|16	10120		0														
1017	101204	2	44.05547 159.8975 35.76392		134.3363	FALSE	15|16	10110		0														
1018	101204	2	56.28041 159.8975 28.89275		141.7253	FALSE	15|16	10110		0														
1019	101204	2	52.31548 159.8975 27.71931		123.938	FALSE	15|16	10110		0														
1020	101205	2	53.26953 159.8975 32.38579		146.3	FALSE	15|16	10120		0														
#BÇø																								
2001	101203	2	21.40136 159.8975 55.14004		130.3152	FALSE	15|16	10120		0														
2002	101203	2	24.0168 159.8975 60.89668		181.5153	FALSE	15|16	10120		0														
2003	101203	2	17.35715 159.8975 58.81093		120.8488	FALSE	15|16	10120		0														
2004	101202	2	22.49105 159.8975 51.4619		116.4512	FALSE	15|16	10120		0														
2005	101202	2	25.65235 159.8975 54.8595		141.7847	FALSE	15|16	10120		0														
2006	101202	2	29.13671 159.8975 57.65651		157.8131	FALSE	15|16	10120		0														
2007	101204	2	30.24591 159.8975 64.45767		209.6492	FALSE	15|16	10110		0														
2008	101204	2	35.01312 159.8975 59.01692		248.264	FALSE	15|16	10110		0														
2009	101204	2	30.24591 159.8975 64.45767		209.6492	FALSE	15|16	10110		0														
2010	101205	2	35.01312 159.8975 59.01692		248.264	FALSE	15|16	10120		0														
2011	101204	2	36.84267 159.8975 52.17284		285.2897	FALSE	15|16	10110		0														
2012	101204	2	34.37382 159.8975 47.6295		312.8633	FALSE	15|16	10110		0														
2013	101205	2	30.2549 159.8975 44.32098		348.1366	FALSE	15|16	10120		0														
#CÇø																								
3001	101206	2	76.54012 159.8979 86.57928		201.241	FALSE	15|16	50110		0														
3002	101203	2	71.28246 159.8979 87.53876		184.9397	FALSE	15|16	10120		0														
3003	101203	2	80.46705 159.8979 83.96262		237.6877	FALSE	15|16	10120		0														
3004	101201	2	65.8243 159.9781 79.12495		228.8177	FALSE	15|16	10110		0														
3005	101201	2	67.35365 159.9781 75.56564		259.9557	FALSE	15|16	10110		0														
3006	101202	2	56.38341 159.8979 74.81937		226.2283	FALSE	15|16	10120		0														
3007	101202	2	60.78574 159.8979 74.06116		245.8456	FALSE	15|16	10120		0														
3008	101202	2	75.60756 159.8979 76.13493		252.6048	FALSE	15|16	10120		0														
3009	101202	2	71.90477 159.8979 79.82092		226.4099	FALSE	15|16	10120		0														
3010	101202	2	67.43613 159.8979 84.20571		183.7891	FALSE	15|16	10120		0														
#Story																								
10001	101299	1	91.09938 159.8975 8.793242		-96.1857	TRUE		20001		0														
