Rank	NickName	HeroId	Level	FightScore	EquipInfo	XSoulInfo	PartnerInfo	SkillInfo
#					#物品ID*等级*属性	#物品ID*等级*经验*显示级别	伙伴ID*属性级别*技能级别	技能Id*等级*位置(0:不装备 1: A 2: B 3:C 4:D)
1	战神之子	1	60	18000	55201*40*54009|55202*40*54024|55203*40*54024|55204*40*54024|55205*40*54009|55206*40*54009|302011*1*0	301010*9*7200*-1	10008*9*4|10002*9*4|10001*9*4	160001*1*0|160801*60*1|160401*60*2|161601*60*3|160101*60*4
2	少爷浩	2	60	18000	55207*40*54009|55202*40*54024|55203*40*54024|55204*40*54024|55205*40*54009|55206*40*54009|302011*1*0	301020*9*7200*-1	10008*9*4|10002*9*4|10001*9*4	120001*1*0|120241*60*1|120341*60*2|120541*60*3|120841*60*4
3	请叫我女王大人	1	60	18000	55101*40*55009|55102*40*55033|55103*40*55033|55104*40*55033|55105*40*55009|55106*40*55009|302011*1*0	301010*9*7200*-1	10008*9*4|10002*9*4|10001*9*4	160001*1*0|160801*60*1|160401*60*2|161601*60*3|160101*60*4
4	大明湖边	2	60	18000	55107*40*55009|55102*40*55033|55103*40*55033|55104*40*55033|55105*40*55009|55106*40*55009|302011*1*0	301020*9*7200*-1	10008*9*4|10002*9*4|10001*9*4	120001*1*0|120241*60*1|120341*60*2|120541*60*3|120841*60*4
5	我的小苹果	1	60	18000	55201*40*54009|55202*40*54024|55203*40*54024|55204*40*54024|55205*40*54009|55206*40*54009|302011*1*0	301010*9*7200*-1	10008*9*4|10002*9*4|10001*9*4	160001*1*0|160201*60*1|160401*60*2|161001*60*3|161601*60*4
6	买女孩的火柴	2	60	18000	55207*40*54009|55202*40*54024|55203*40*54024|55204*40*54024|55205*40*54009|55206*40*54009|302011*1*0	301020*9*7200*-1	10008*9*4|10002*9*4|10001*9*4	120001*1*0|120141*60*1|120341*60*2|120641*60*3|120541*60*4
7	伤.离别	1	60	18000	55101*40*55009|55102*40*55033|55103*40*55033|55104*40*55033|55105*40*55009|55106*40*55009|302011*1*0	301010*9*7200*-1	10008*9*4|10002*9*4|10001*9*4	160001*1*0|160201*60*1|160401*60*2|161001*60*3|161601*60*4
8	队长别开枪	2	60	18000	55107*40*55009|55102*40*55033|55103*40*55033|55104*40*55033|55105*40*55009|55106*40*55009|302011*1*0	301020*9*7200*-1	10008*9*4|10002*9*4|10001*9*4	120001*1*0|120141*60*1|120341*60*2|120641*60*3|120541*60*4
9	双枪老太	1	60	18000	55201*40*54009|55202*40*54024|55203*40*54024|55204*40*54024|55205*40*54009|55206*40*54009|302011*1*0	301010*9*7200*-1	10008*9*4|10002*9*4|10001*9*4	160001*1*0|160401*60*1|161001*60*2|161601*60*3|160101*60*4
10	我要开飞机	2	60	18000	55207*40*54009|55202*40*54024|55203*40*54024|55204*40*54024|55205*40*54009|55206*40*54009|302011*1*0	301020*9*7200*-1	10008*9*4|10002*9*4|10001*9*4	120001*1*0|120341*60*1|120641*60*2|120541*60*3|120841*60*4
11	戴安娜罗宾斯	1	60	18000	55101*40*55009|55102*40*55033|55103*40*55033|55104*40*55033|55105*40*55009|55106*40*55009|302011*1*0	301010*9*7200*-1	10008*9*4|10002*9*4|10001*9*4	160001*1*0|160401*60*1|161001*60*2|161601*60*3|160101*60*4
12	苗超英	2	60	18000	55107*40*55009|55102*40*55033|55103*40*55033|55104*40*55033|55105*40*55009|55106*40*55009|302011*1*0	301020*9*7200*-1	10008*9*4|10002*9*4|10001*9*4	120001*1*0|120341*60*1|120641*60*2|120541*60*3|120841*60*4
13	伍正霞	1	60	18000	55201*40*54009|55202*40*54024|55203*40*54024|55204*40*54024|55205*40*54009|55206*40*54009|302011*1*0	301010*9*7200*-1	10008*9*4|10002*9*4|10001*9*4	160001*1*0|160801*60*1|160401*60*2|161001*60*3|161601*60*4
14	维多利亚阿尔芭	2	60	18000	55207*40*54009|55202*40*54024|55203*40*54024|55204*40*54024|55205*40*54009|55206*40*54009|302011*1*0	301020*9*7200*-1	10008*9*4|10002*9*4|10001*9*4	120001*1*0|120241*60*1|120341*60*2|120641*60*3|120541*60*4
15	宗政承平	1	60	18000	55101*40*55009|55102*40*55033|55103*40*55033|55104*40*55033|55105*40*55009|55106*40*55009|302011*1*0	301010*9*7200*-1	10008*9*4|10002*9*4|10001*9*4	160001*1*0|160801*60*1|160401*60*2|161001*60*3|161601*60*4
16	不羁少年V米琪	2	60	18000	55107*40*55009|55102*40*55033|55103*40*55033|55104*40*55033|55105*40*55009|55106*40*55009|302011*1*0	301020*9*7200*-1	10008*9*4|10002*9*4|10001*9*4	120001*1*0|120241*60*1|120341*60*2|120641*60*3|120541*60*4
17	诺顿	1	60	18000	55201*40*54009|55202*40*54024|55203*40*54024|55204*40*54024|55205*40*54009|55206*40*54009|302011*1*0	301010*9*7200*-1	10008*9*4|10002*9*4|10001*9*4	160001*1*0|160201*60*1|160801*60*2|160401*60*3|161001*60*4
