TotalPoint	HighRate	LowRate
0 	0.5	0.5
4 	0.51	0.49
11	0.52	0.48
18	0.53	0.47
26 	0.54	0.46
33  	0.55	0.45
40  	0.56	0.44
47 	0.57	0.43
54 	0.58	0.42
62 	0.59	0.41
69 	0.6	0.4
77  	0.61	0.39
84  	0.62	0.38
92 	0.63	0.37
99 	0.64	0.36
107 	0.65	0.35
114 	0.66	0.34
122 	0.67	0.33
130 	0.68	0.32
138	0.69	0.31
146	0.7	0.3
154	0.71	0.29
163	0.72	0.28
171	0.73	0.27
180	0.74	0.26
189	0.75	0.25
198	0.76	0.24
207	0.77	0.23
216	0.78	0.22
226	0.79	0.21
236	0.8	0.2
246	0.81	0.19
257	0.82	0.18
268	0.83	0.17
279	0.84	0.16
291	0.85	0.15
303	0.86	0.14
316	0.87	0.13
329	0.88	0.12
345	0.89	0.11
358	0.9	0.1
375	0.91	0.09
392	0.92	0.08
412	0.93	0.07
433	0.94	0.06
457	0.95	0.05
485	0.96	0.04
518	0.97	0.03
560	0.98	0.02
620	0.99	0.01
736 	1	0
